symbol,name
PANI.JK,Pantai Indah Kapuk Dua Tbk.
DIGI.JK,Arkadia Digital Media Tbk.
CITY.JK,Natura City Developments Tbk.
SAPX.JK,Satria Antaran Prima Tbk.
SURE.JK,Super Energy Tbk.
HKMU.JK,HK Metals Utama Tbk.
MPRO.JK,Maha Properti Indonesia Tbk.
DUCK.JK,Jaya Bersama Indo Tbk.
GOOD.JK,Garudafood Putra Putri Jaya Tb
SKRN.JK,Superkrane Mitra Utama Tbk.
YELO.JK,Yelooo Integra Datanet Tbk.
CAKK.JK,Cahayaputra Asa Keramik Tbk.
SATU.JK,Kota Satu Properti Tbk.
SOSS.JK,Shield On Service Tbk.
DEAL.JK,Dewata Freightinternational Tb
POLA.JK,Pool Advista Finance Tbk.
DIVA.JK,Distribusi Voucher Nusantara T
LUCK.JK,Sentral Mitra Informatika Tbk.
URBN.JK,Urban Jakarta Propertindo Tbk.
SOTS.JK,Satria Mega Kencana Tbk.
ZONE.JK,Mega Perintis Tbk.
PEHA.JK,Phapros Tbk.
FOOD.JK,Sentra Food Indonesia Tbk.
BEEF.JK,Estika Tata Tiara Tbk.
POLI.JK,Pollux Hotels Group Tbk.
CLAY.JK,Citra Putra Realty Tbk.
NATO.JK,Surya Permata Andalan Tbk.
JAYA.JK,Armada Berjaya Trans Tbk.
COCO.JK,Wahana Interfood Nusantara Tbk
